Year,Country,Province,Town,Suburb
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,1
1984,0,0,0,3
1985,0,0,0,1
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,1,2,2,2
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,1,1,3,3
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,2,2
1999,0,0,0,0
2000,0,1,1,3
2001,0,0,1,1
2002,0,1,1,1
2003,0,1,1,1
2004,0,0,0,1
2005,0,1,1,1
2006,0,0,0,0
2007,0,1,1,1
2008,0,1,1,1
2009,3,3,3,3
2010,0,0,0,1
2011,1,1,2,2
2012,0,3,3,3
2013,0,1,3,3
2014,0,0,1,1
2015,0,0,0,2
2016,0,0,0,0
2017,1,1,2,2
2018,0,0,0,1
